aab | arrabury airport | tanbar | brisbane
ize | itzehoe/hungriger wolf airport | peissen | berlin
izo | izumo airport | hiratacho | tokyo
jac | jackson hole airport | jackson | denver
jae | shumba airport |  | new york
jai | jaipur airport | jaipur | kolkata
jak | jacmel regional airport | jacmel | port-au-prince
jan | jackson-evers international airport | flowood | chicago
jau | jauja airport | masma chicche | lima
jav | ilulissat airport |  | godthab
jax | jacksonville international airport | nassau village-ratliff | new york
jbb | notohadinegoro airport | renes | jakarta
jbq | la isabela international airport | santo domingo | santo domingo
jbr | jonesboro airport | jonesboro | chicago
jci | new century aircenter airport | gardner | chicago
jcl | české budějovice airport |  | prague
jcs | aeroporto de crateus airport | crateus | fortaleza
jde | jiande qiandaohu airport | jiande | shanghai
jdh | jodhpur airport | jodhpur | kolkata
jdo | orlando bezerra de menezes airport | juazeiro do norte | fortaleza
jdz | jingdezhen airport | hongyuan | shanghai
jed | king abdulaziz international airport | jeddah | riyadh
jeg | aasiaat airport |  | godthab
jek | jeki airport | luangwa | lusaka
jer | jersey airport | saint helier | jersey
jfk | john f. kennedy international airport | inwood | new york
jfr | paamiut airport |  | godthab
jga | govardhanpur airport | bedi | kolkata
jgd | jiagedaqi airport | jagdaqi | shanghai
jgn | jiayuguan airport | jiayuguan | shanghai
jgs | ji'an/jing gang shan airport | denglong | shanghai
jhb | senai airport | taman senai | kuala lumpur
jhf | são paulo catarina executive airport | são roque | sao paulo
jhg | xishuangbanna gasa airport | jinghong | shanghai
jhm | kapalua airport | napili-honokowai | honolulu
jhs | sisimiut airport |  | godthab
jhw | jamestown airport | celoron | new york
jib | djibouti-ambouli international airport | djibouti | djibouti
jic | jinchuan airport | jinchang | shanghai
jij | jigiga airport | jijiga | addis ababa
jik | ikaria airport | agios kirykos | athens
jim | jimma airport | jima | addis ababa
jiq | qianjiang wulingshan airport | zhoubai | shanghai
jjg | jaguaruna regional airport | jaguaruna | sao paulo
jjm | mulika lodge airport | maua | nairobi
jjn | quanzhou jinjiang international airport | jinjiang | shanghai
jkg | axamo airport | taberg | stockholm
jkh | chios airport | chios | athens
jkl | kalymnos island national airport | kalymnos | athens
jkr | janakpur airport | janakpur | kathmandu
jln | joplin airport | webb city | chicago
jlr | jabalpur airport | ghansor | kolkata
jmj | lancang jingmai airport | menglang | shanghai
jmk | mikonos airport | mykonos | athens
jms | jamestown airport | jamestown | chicago
jmu | jiamusi airport | songjiang | shanghai
jnb | o.r. tambo international airport | modderfontein | johannesburg
jng | jining airport | jining | shanghai
jnu | juneau international airport | juneau | juneau
jnx | naxos airport | naxos | athens
jnz | liaoning province airport | wanghu | shanghai
joe | joensuu airport | joensuu | helsinki
jog | adisutjipto international airport | depok | jakarta
joi | joinville-lauro carneiro de loyola airport | joinville | sao paulo
jok | yoshkar-ola airport | yoshkar-ola | moscow
jos | jos airport | jos | lagos
jpa | presidente castro pinto international airport | bayeux | fortaleza
jpe | nagib demachki airport | paragominas | sao paulo
jpo | brigadeiro firmino ayres airport | patos | recife
jpr | ji-parana airport | ji parana | porto velho
jpy | paraty airport | paraty | sao paulo
jqa | qaarsut airport |  | godthab
jqe | jaque airport | jaque | panama
jrg | jharsuguda airport | jharsuguda | kolkata
jrh | rowriah airport | jorhat | kolkata
jro | kilimanjaro international airport | merelani | dar es salaam
jrt | juruti airport | juruti | manaus
jsb | walfrido salmito de almeida airport | são benedito | fortaleza
jsh | sitia airport | siteia | athens
jsi | skiathos airport | skiathos | athens
jsj | jiansanjiang shidi airport | fujin | shanghai
jsk | jask airport | jask | tehran
jsr | jessore airport | jessore | dhaka
jst | cambria county airport | geistown | new york
jsy | syros island airport | ermoupolis | athens
jta | pedro teixeira castelo airport | tauá | fortaleza
jtc | bauru-arealva airport | bauru | sao paulo
jtn | antônio ribeiro nogueira jr. state airport | itanhaém | sao paulo
jtr | santorini international airport | mesaria | athens
jty | astypalaia airport | astypalaia | athens
jub | juba international airport | juba | juba
juh | chizhou jiuhuashan airport | borivli | shanghai
juj | el cadillal airport | la mendieta | argentina
jul | juliaca airport | juliaca | lima
juz | quzhou airport | quzhou | shanghai
jvi | central jersey regional airport |  | new york
jxa | jixi airport | hongjunlu | shanghai
jyv | jyvaskyla airport | jyvaeskylae | helsinki
jzh | jiuzhai huanglong airport | jin'an | shanghai
kaa | kasama airport | kasama | lusaka
kac | kameshly airport | al qamishli | damascus
kad | kaduna airport | kaduna | lagos
kaj | kajaani airport | kajaani | helsinki
kal | kaltag airport |  | anchorage
kan | mallam aminu kano international airport | kano | lagos
kao | kuusamo airport | kuusamo | helsinki
kaw | kawthaung airport |  | rangoon
kbl | kabul international airport | kabul | kabul
kbp | boryspil international airport | boryspil' | kiev
kbr | sultan ismail petra airport | kota bharu | kuala lumpur
kbu | gusti syamsir alam airport | sungaibali | makassar
kbv | krabi airport | nuea khlong | bangkok
kca | kuqa airport | luntai | shanghai
kch | kuching international airport | kuching | kuching
kck | kirensk airport | kirensk | irkutsk
kcm | kahramanmaras airport | kahramanmaras | istanbul
kco | cengiz topel airport | derince | istanbul
kct | koggala airport |  | colombo
kcy | krasnoyarsk cheremshanka airport |  | krasnoyarsk
kcz | kochi ryoma airport | kochi-shi | tokyo
kdh | kandahar airport | kandahar | kabul
kdi | haluoleo airport |  | makassar
kdl | kardla airport | kardla | tallinn
kdu | skardu airport | skardu | karachi
kdv | kandavu airport |  | fiji
kdz | polgolla reservoir airport | kandy | colombo
kea | keisah airport |  | jayapura
kef | keflavik international airport | reykjanesbaer | reykjavik
kej | kemerovo airport | kemerovo | novokuznetsk
kem | kemi/tornio airport | keminmaa | helsinki
kep | nepalganj airport | nepalgunj | kathmandu
ker | kerman airport | kerman | tehran
ket | keng tung airport |  | rangoon
kfs | kastamonu airport | kastamonu | istanbul
kfz | kukës international airport | kukës | tirane
kgc | kingscote airport |  | adelaide
kgd | khrabrovo airport | gur'yevsk | kaliningrad
kgf | karaganda airport | koktal | almaty
kgi | kalgoorlie airport | boulder | perth
kgl | kigali international airport | kigali | kigali
kgp | kogalym international airport | kogalym | yekaterinburg
kgs | kos airport | antimacheia | athens
kgt | kangding airport |  | shanghai
kgx | grayling airport |  | anchorage
khe | kherson international airport | kherson | kiev
khg | kashi airport | kashi | shanghai
khh | kaohsiung international airport | kaohsiung | taipei
khi | jinnah international airport | malir cantonment | karachi
khn | nanchang changbei international airport | lehua | shanghai
khs | khasab airport | khasab | muscat
khv | khabarovsk airport | topolevo | vladivostok
khz | kauehi airport |  | tahiti
kid | kristianstad airport | degeberga | stockholm
kih | kish international airport | kish | tehran
kij | niigata airport | kameda-honcho | tokyo
kim | kimberley airport | kimberley | johannesburg
kin | norman manley international airport |  | jamaica
kir | kerry county airport | castleisland | dublin
kis | kisumu airport | kisumu | nairobi
kit | kithira airport | kythira | athens
kix | kansai international airport | kaizuka | tokyo
kiy | kilwa masoko airport |  | dar es salaam
kja | yemelyanovo airport | yemel'yanovo | krasnoyarsk
kjb | uyyalawada narasimha reddy airport | orvakal | kolkata
kjh | kaili huangping airport | shiqian | shanghai
kji | kanasi airport | oymak | shanghai
kjt | kertajati international airport | jatiwangi | jakarta
kjx | blangpidie airport | susoh | jakarta
kka | koyuk airport |  | anchorage
kkc | khon kaen airport | khon kaen | bangkok
kke | kerikeri airport | kerikeri | auckland
kkh | kongiganak airport |  | nome
kkj | kitakyushu airport | kanda | tokyo
kkn | kirkenes airport hoeybuktmoen | bjornevatn | oslo
kkr | kaukura atoll airport |  | tahiti
kks | kashan airport | kashan | tehran
klb | kalabo airport | kalabo | lusaka
klf | grabtsevo airport | kaluga | moscow
klg | kalskag municipal airport |  | anchorage
klo | kalibo international airport | brgy. nalook, kalibo | manila
klr | kalmar oland airport | rinkabyholm | stockholm
klu | klagenfurt airport | klagenfurt am woerthersee | vienna
klv | karlovy vary airport | dalovice | prague
klw | klawock airport |  | sitka
klx | kalamata airport | thouria | athens
kmg | kunming changshui international airport | qidian | shanghai
kmi | miyazaki airport | miyazaki-shi | tokyo
kmj | kumamoto airport | ozu | tokyo
kmq | komatsu airport | komatsu | tokyo
kms | kumasi airport | tafo | accra
kmv | kalemyo airport | falam | rangoon
kng | kaimana airport | kaimana | jayapura
knh | kinmen airport | jincheng | taipei
knk | kokhanok airport |  | anchorage
kno | kuala namu international airport | percut | jakarta
kns | king island airport | currie | currie
knu | kanpur airport | kanpur | kolkata
knx | kununurra airport |  | perth
kny | kodinsk airport |  | krasnoyarsk
koa | kona international airport at keahole |  | honolulu
koe | el tari airport | penfui | dili
koi | kirkwall airport |  | london
koj | kagoshima airport | kajiki | tokyo
kok | kruunupyy airport | kronoby | helsinki
kop | nakhon phanom airport |  | bangkok
kos | sihanouk international airport | sihanoukville | phnom penh
kot | kotlik airport |  | nome
kov | kokshetau airport | kokshetau | almaty
kow | ganzhou airport | ganzhou | shanghai
kpo | pohang airport | pohang | seoul
kpw | keperveyem airport | bilibino | kamchatka
kqh | kishangarh airport | kishangarh | kolkata
kqr | karara airport |  | perth
kqt | qurghonteppa international airport | bustonqal'a | dushanbe
krb | karumba airport |  | brisbane
krf | kramfors airport | bollstabruk | stockholm
krk | j. paul ii international airport krakow-balice | balice | warsaw
krl | korla airport | sayibage | shanghai
krn | kiruna airport | kiruna | stockholm
kro | kurgan airport | kurgan | yekaterinburg
krp | karup airport | karup | copenhagen
krr | krasnodar international airport | pashkovskiy | moscow
krs | kristiansand airport | justvik | oslo
krt | khartoum international airport | khartoum | khartoum
krw | turkmanbashi airport | turkmenbasy | ashgabat
kry | karamay airport |  | shanghai
ksa | kosrae airport | tafunsak | kosrae
ksc | barca airport | kosice | bratislava
ksd | karlstad airport | karlstad | stockholm
kse | kasese airport | kasese | kampala
ksf | kassel-calden airport | calden | berlin
ksh | kermanshah airport | kermanshah | tehran
ksj | kasos island airport | fry | athens
ksl | kassala airport | kassala | khartoum
ksm | saint mary's airport |  | anchorage
ksn | kostanay airport | kostanay | almaty
kso | aristoteles airport | argos orestiko | athens
ksq | karshi airport | qarshi | samarkand
ksu | kristiansund airport kvernberget | rensvik | oslo
ksy | kars airport | kars | istanbul
ksz | kotlas airport | kotlas | moscow
kta | karratha airport | nickol | perth
kte | kerteh airport | kertih | kuala lumpur
ktg | ketapang airport | ketapang | pontianak
ktj | kichwa tembo airport | narok | nairobi
ktl | kitale airport | kitale | nairobi
ktm | tribhuvan international airport |  | kathmandu
ktn | ketchikan international airport |  | sitka
kts | brevig mission airport |  | anchorage
ktt | kittila airport | kittilae | helsinki
ktw | katowice international airport | ozarowice | warsaw
kua | sultan haji ahmad shah airport | kuantan | kuala lumpur
kud | kudat airport | kudat | kuching
kuf | kurumoch international airport | bereza | samara
kuh | kushiro airport | kushiro | tokyo
kuk | kasigluk airport |  | nome
kul | kuala lumpur international airport | kampung baharu nilai | kuala lumpur
kum | yakushima airport |  | tokyo
kun | kaunas airport | kaunas | vilnius
kuo | kuopio airport | siilinjaervi | helsinki
kus | kulusuk airport | tasiilaq | godthab
kut | kutaisi international airport | kutaisi | tbilisi
kuu | bhuntar airport | kulu | kolkata
kuv | gunsan airport | kunsan | seoul
kuy | kamusi airport |  | port moresby
kva | kavala international airport | nea karya | athens
kvg | kavieng airport |  | port moresby
kvk | kirovsk airport | kirovsk | moscow
kvl | kivalina airport |  | nome
kvm | markovo airport |  | anadyr
kvo | morava airport | kraljevo | belgrade
kvx | kirov airport | strizhi | moscow
kwa | kwajalein airport | ebaye | kwajalein
kwe | guiyang longdongbao international airport | guiyang | shanghai
kwi | kuwait international airport | janub as surrah | kuwait
kwj | gwangju airport | gwangju | seoul
kwk | kwigillingok airport |  | nome
kwl | guilin liangjiang international airport | guilin | shanghai
kwn | kwinhagak airport |  | anchorage
kwt | kwethluk airport |  | anchorage
kxb | sangia nibandera airport | kolaka | makassar
kxd | kondinskoye airport | kondinskoye | yekaterinburg
kxk | khurba airport | khurba | vladivostok
kxo | kisoro airport |  | kampala
kya | konya airport | asagipinarbasi | istanbul
kyp | kyaukpyu airport |  | rangoon
kyu | koyukuk airport |  | anchorage
kyz | kyzyl airport | kyzyl | krasnoyarsk
kzi | philippos airport | krokos | athens
kzn | kazan international airport | stolbishchi | moscow
kzo | kzyl-orda airport | tasboget | qyzylorda
kzr | zafer airport |  | istanbul
kzs | kastellorizo airport | kalkan | athens
lad | quatro de fevereiro airport | luanda | luanda
lae | nadzab airport |  | port moresby
lai | servel airport | lannion | paris
laj | correia pinto airport | lages | sao paulo
lan | capital region international airport | edgemont park | detroit
lao | laoag airport | san nicolas | manila
lap | leon airport | el centenario | mazatlan
laq | la braq airport | al bayda' | tripoli
las | mccarran international airport |  | los angeles
law | lawton-fort sill regional airport | lawton | chicago
lax | los angeles international airport | el segundo | los angeles
lba | leeds bradford international airport | yeadon | london
lbb | lubbock preston smith international airport |  | chicago
lbd | khujand airport | chkalov | dushanbe
lbe | westmoreland county airport | lawson heights | new york
lbj | komodo airport | labuhanbajo | makassar
lbl | liberal municipal airport | liberal | chicago
lbs | labasa airport |  | fiji
lbu | labuan airport |  | kuching
lbv | libreville airport |  | libreville
lca | larnaca international airport | meneou | nicosia
lce | goloson international airport | el porvenir | tegucigalpa
lcg | a coruna airport | culleredo | madrid
lch | lake charles regional airport | prien | chicago
lcj | lodz lublinek airport | ksawerow | warsaw
lck | rickenbacker international airport | obetz | new york
lct | shijiazhuang luancheng airport |  | shanghai
lcx | liancheng airport | wenheng | shanghai
lcy | london city airport |  | london
ldb | londrina airport | londrina | sao paulo
lde | tarbes ossun lourdes airport | juillan | paris
ldh | lord howe island airport | woolgoolga | lord howe
lds | yichun shi airport | xuri | shanghai
ldu | lahad datu airport |  | kuching
ldy | city of derry airport | eglinton | london
ldz | londolozi airport |  | johannesburg
lea | learmonth airport |  | perth
leb | lebanon regional airport | white river junction | new york
lec | coronel horacio de mattos airport | vera cruz | bahia
led | pulkovo airport | dachnoye | moscow
lei | almeria airport | retamar | madrid
lej | leipzig/halle airport |  | berlin
len | leon airport | san andres del rabanedo | madrid
let | gen. a.v. cobo airport | leticia | bogota
lex | blue grass airport | monticello | new york
lfh | lanping feng hua airport | jinding | shanghai
lfm | lamerd airport | lamerd | tehran
lfq | linfen qiaoli airport | linfen | shanghai
lfr | la fria airport | la fria | caracas
lft | lafayette regional airport | lafayette | chicago
lfw | lome airport | lome | lome
lga | laguardia airport | the bronx | new york
lgb | long beach airport | signal hill | los angeles
lgg | liege airport | awans | brussels
lgi | deadmans cay airport | clarence town | nassau
lgk | langkawi international airport | kuah | kuala lumpur
lgp | legaspi airport | sagpon | manila
lgq | lago agrio airport | nueva loja | guayaquil
lgw | london gatwick airport | horley | london
lgz | shannan longzi airport | shannan | shanghai
lhe | allama iqbal international airport | lahore | karachi
lhr | london heathrow airport | west drayton | london
lhw | lanzhou zhongchuan international airport |  | shanghai
lif | lifou airport | we | noumea
lig | bellegarde airport | couzeix | paris
lih | lihue airport | hanama'ulu | honolulu
lil | lille airport | lesquin | paris
lim | jorge chavez international airport | callao | lima
lin | milano linate airport | novegro-tregarezzo-san felice | rome
lio | limon international airport | limon | costa rica
lir | liberia airport | liberia | costa rica
lis | lisbon portela airport | moscavide | lisbon
lit | bill and hillary clinton national airport | north little rock | chicago
liw | loikaw airport | loikaw | rangoon
ljg | lijiang airport | huangshan | shanghai
lju | ljubljana joze pucnik airport | sencur | ljubljana
lka | gewayenta airport | balela | makassar
lkb | lakeba airport |  | fiji
lkl | banak airport | lakselv | oslo
lkn | leknes airport | leknes | oslo
lko | chaudhary charan singh international airport | lucknow | kolkata
lky | lake manyara airport | monduli | dar es salaam
lla | lulea airport | bergnaset | stockholm
llb | libo county libo city airport | chuanshan | shanghai
llc | cagayan north international airport | bagumbayan | manila
llf | lingling airport | lengshuitan | shanghai
lli | lalibela airport | lalibela | addis ababa
llj | silampari airport | lubuklinggau | jakarta
llk | lankaran international airport | lankaran | baku
llo | bua airport | beringinjaya | makassar
llv | lüliang airport | lishi | shanghai
llw | lilongwe international airport | lilongwe | blantyre
lmm | federal airport | los mochis | mazatlan
lmn | limbang airport | limbang | kuching
lmp | lampedusa airport | lampedusa | rome
lmt | crater lake klamath regional airport | altamont | los angeles
lmu | letung airport |  | jakarta
lmv | madivaru airport | madivaru | maldives
lnj | lincang airport | mengmeng | shanghai
lnk | lincoln airport | lincoln | chicago
lnl | longnan chengzhou airport | diancun | shanghai
lns | lancaster airport | lititz | new york
lnu | robert atty bessing airport | mensalong | makassar
lny | lanai airport | lana'i city | honolulu
lnz | linz airport | horsching | vienna
loe | loei airport | loei | bangkok
loh | ciudad de catamayo airport | catamayo | guayaquil
lok | lodwar airport |  | nairobi
loo | l'mekrareg airport | laghouat | algiers
lop | lombok international airport | tanakawu dua | makassar
los | murtala muhammed international airport | oshodi | lagos
lou | bowman field airport | louisville | kentucky
lox | los tablones airport | morazan | guatemala
lpa | gran canaria airport | ingenio | canary
lpb | el alto international airport | la paz | la paz
lpc | lompoc airport |  | los angeles
lpf | liupanshui yuezhao airport | liupanshui | shanghai
lpi | linkoping city airport | linkoping | stockholm
lpk | lipetsk airport | lipetsk | moscow
lpl | liverpool john lennon airport | hale | london
lpq | luang prabang international airport | louangphabang | vientiane
lpt | lampang airport | lampang | bangkok
lpx | liepaya airport | grobina | riga
lpy | loudes airport | saint-paulien | paris
lrd | laredo international airport | laredo | chicago
lre | longreach airport |  | brisbane
lrh | laleu airport | nieul-sur-mer | paris
lrm | la romana airport | la romana | santo domingo
lrr | lar airport | lar | tehran
lrs | leros airport | megalo chorio | athens
lrt | lann bihoue airport | ploemeur | paris
lsc | la florida airport | la serena | santiago
lse | la crosse regional airport | french island | chicago
lsi | sumburgh airport |  | london
lsp | josefa camejo airport | punto fijo | caracas
lst | launceston airport | perth | hobart
lsw | malikus saleh airport | lhokseumawe | jakarta
lsy | lismore airport | lismore | sydney
lsz | losinj airport | mali losinj | zagreb
ltn | london luton airport | luton | london
lto | loreto airport | loreto | mazatlan
ltx | cotapaxi international airport | latacunga | guayaquil
lud | luderitz airport | luderitz | windhoek
lug | lugano airport | viganello | zurich
luh | ludhiana sahnewal airport | ludhiana | kolkata
luk | cincinnati municipal lunken airport | oakbrook | new york
lum | dehong mangshi airport |  | shanghai
lun | kenneth kaunda international airport | lusaka | lusaka
luq | san luis airport | san luis | argentina
luv | langgur airport |  | jayapura
luw | bubung airport | luwuk | makassar
lux | luxembourg airport | sandweiler | luxembourg
luz | lublin airport |  | warsaw
lvi | livingstone airport | livingstone | lusaka
lwb | greenbrier valley airport | lewisburg | new york
lwn | leninakan airport | azatan | yerevan
lwo | lviv international airport | rudne | kiev
lws | lewiston-nez perce county regional airport | lewiston orchards | los angeles
lwy | lawas airport | victoria | kuching
lxa | lhasa gonggar airport | konggar | shanghai
lxg | luang namtha airport | louang namtha | vientiane
lxr | luxor international airport | luxor | cairo
lxs | limnos airport | myrina | athens
lya | luoyang beijiao airport |  | shanghai
lyb | little cayman airport | east end | cayman
lyc | lycksele airport | lycksele | stockholm
lyg | lianyungang airport | niushan | shanghai
lyi | linyi airport | linyi | shanghai
lyp | faisalabad airport | faisalabad | karachi
lyr | svalbard airport | longyearbyen | longyearbyen
lys | lyon saint-exupery international airport | pusignan | paris
lzc | lazaro cardenas airport | la orilla | mexico city
lzg | langzhong airport | shilong | shanghai
lzh | liuzhou airport | labu | shanghai
lzn | matsu nangan airport |  | taipei
lzo | luzhou lantian airport | luzhou | shanghai
lzu | gwinnett county airport | suwanee | new york
lzy | nyingchi mainling airport | mainling | shanghai
maa | chennai airport | pallavaram | kolkata
mab | maraba airport |  | belem
mad | adolfo suarez madrid-barajas airport | barajas de madrid | madrid
maf | midland international airport |  | chicago
mag | madang airport |  | port moresby
mah | menorca airport | sant lluis | madrid
maj | amata kabua international airport | majuro | majuro
mam | matamoros airport | heroica matamoros | matamoros
man | manchester airport | ringway | london
mao | eduardo gomes international airport |  | manaus
maq | mae sot airport | mae sot | bangkok
mar | la chinita airport | san francisco | caracas
mas | momote airport | lorengau | port moresby
maz | eugenio m. de hostos airport | anasco | puerto rico
mba | moi international airport | mombasa | nairobi
mbd | mmabatho international airport | mmabatho | johannesburg
mbe | monbetsu airport | mombetsu | tokyo
mbi | mbeya airport | mbeya | dar es salaam
mbj | sangster international airport | montego bay | jamaica
mbl | blacker airport | manistee | detroit
mbs | mbs international airport | freeland | detroit
mbt | masbate airport | tumalaytay | manila
mbx | maribor international airport | maribor | ljubljana
mce | merced municipal airport |  | los angeles
mcg | mcgrath airport |  | anchorage
mci | kansas city international airport | weatherby lake | chicago
mck | mc cook airport | mccook | chicago
mco | orlando international airport | taft | new york
mcp | macapa international airport | macapa | belem
mct | muscat international airport | bawshar | muscat
mcv | mcarthur river airport |  | darwin
mcw | mason city airport | clear lake | chicago
mcx | makhachkala airport | kaspiysk | moscow
mcy | sunshine coast airport | coolum beach | brisbane
mcz | maceio-zumbi dos palmares international airport | satuba | maceio
mdc | sam ratulangi international airport | tatelu | makassar
mde | jose maria cordova international airport | rionegro | bogota
mdg | mudanjiang airport | xinglong | shanghai
mdl | mandalay international airport |  | rangoon
mdq | mar del plata airport |  | argentina
mdt | harrisburg international airport | middletown | new york
mdu | mendi airport |  | port moresby
mdw | chicago midway international airport | stickney | chicago
mdz | el plumerillo international airport | las heras | argentina
meb | essendon airport | niddrie | melbourne
mec | manta airport | manta | guayaquil
med | prince mohammad bin abdulaziz international airport | medina | riyadh
mee | mare airport |  | noumea
meh | mehamn airport | mehamn | oslo
mel | tullamarine airport | attwood | melbourne
mem | memphis international airport | southaven | chicago
mex | benito juarez international airport | venustiano carranza | mexico city
mfe | mcallen international airport | mcallen | chicago
mfk | matsu beigan airport | nangan | taipei
mfm | macau international airport |  | macau
mfr | rogue valley international-medford airport | medford | los angeles
mga | augusto c sandino international airport | managua | managua
mgb | mount gambier airport | mount gambier | adelaide
mgc | michigan city airport | trail creek | chicago
mgh | margate airport | margate | johannesburg
mgm | montgomery regional airport |  | chicago
mgq | mogadishu international airport | mogadishu | mogadishu
mgw | morgantown airport | brookhaven | new york
mgy | dayton-wright brothers airport | union | new york
mgz | myeik airport | myeik | rangoon
mhc | mocopulli airport |  | santiago
mhd | mashhad international airport | mashhad | tehran
mhg | mannheim airport | mannheim | berlin
mhh | marsh harbour international airport | marsh harbour | nassau
mhk | manhattan municipal airport | ogden | chicago
mhq | mariehamn airport | mariehamn | mariehamn
mhr | sacramento mather airport |  | los angeles
mht | manchester boston regional airport | manchester | new york
mhz | mildenhall airport | lakenheath | london
mia | miami international airport | virginia gardens | new york
mid | manuel crescencio rejon international airport | itzincab palomeque | merida
mig | mianyang nanjiao airport | mianyang | shanghai
mii | dr gastao vidigal airport | marilia | sao paulo
mim | merimbula airport | merimbula | sydney
mir | habib bourguiba international airport | sahline | tunis
mjf | kjaerstad airport | mosjoen | oslo
mji | mitiga tripoli airport | tagiura | tripoli
mjt | mytilene international airport | vareia | athens
mju | tampa padang airport | mamuju | makassar
mjv | murcia-san javier airport | san javier | madrid
mjz | mirnyj airport | mirny | yakutsk
mkc | charles b. wheeler downtown airport | kansas city | chicago
mke | general mitchell international airport | saint francis | chicago
mkg | muskegon airport | norton shores | detroit
mkk | molokai airport | kualapu'u | honolulu
mkl | mckellar airport | jackson | chicago
mkm | mukah airport |  | kuching
mkq | mopah airport |  | jayapura
mkw | rendani airport | manokwari | jayapura
mky | mackay airport | mackay | brisbane
mkz | malacca international airport | batu berendam | kuala lumpur
mla | malta international airport | luqa | malta
mlb | orlando melbourne international airport | melbourne | new york
mle | male international airport | male | maldives
mlg | abdul rachman saleh airport | singosari | jakarta
mlh | euroairport basel-mulhouse-freiburg | hesingue | zurich
mli | quad city international airport | coal valley | chicago
mll | marshall don hunter sr. airport |  | anchorage
mlm | morelia airport | alvaro obregon | mexico city
mln | melilla airport | melilla | ceuta
mlo | milos airport | adamas | athens
mlu | monroe regional airport | lakeshore | chicago
mlx | malatya airport | yesilyurt | istanbul
mma | malmö bulltofta airport | arloev | stockholm
mmb | memanbetsu airport | bihoro | tokyo
mme | durham tees valley airport | bishopton | london
mmh | mammoth lakes airport | mammoth lakes | los angeles
mmj | matsumoto airport | matsumoto | tokyo
mmk | murmansk airport | murmashi | moscow
mmu | morristown municipal airport | florham park | new york
mmx | malmo airport | genarp | stockholm
mmy | miyako airport |  | tokyo
mng | maningrida airport |  | darwin
mni | bramble airport | saint peters | montserrat
mnl | ninoy aquino international airport | makati city | manila
mnz | manassas regional airport/harry p. davis field | manassas | new york
mob | mobile regional airport | tillmans corner | chicago
moc | montes claros airport | montes claros | sao paulo
mod | modesto municipal airport | bystrom | los angeles
mof | wai oti airport | waioti | makassar
moh | maleo airport | malili | makassar
mok | muynak airport | muynak | samarkand
mol | molde airport aro | molde | oslo
mon | mount cook airport |  | auckland
moq | morondava airport | morondava | antananarivo
mot | minot international airport | minot | chicago
mou | mountain village airport |  | anchorage
mov | moranbah airport | moranbah | brisbane
moz | temae airport | teavaro | tahiti
mph | boracay airport | caticlan | manila
mpl | montpellier mediterranee airport | perols | paris
mpm | maputo international airport |  | maputo
mqc | miquelon airport | miquelon | miquelon
mqf | magnitogorsk airport | magnitogorsk | yekaterinburg
mql | mildura airport | mildura | melbourne
mqm | mardin airport | kiziltepe | istanbul
mqn | mo i rana airport | mo i rana | oslo
mqp | kruger mpumalanga international airport | white river | johannesburg
mqt | sawyer international airport | k. i. sawyer air force base | detroit
mqx | makale airport | mekele | addis ababa
mra | misurata airport | misratah | tripoli
mrb | eastern wv regional airport/shepherd field | martinsburg | new york
mre | mara lodges airport |  | nairobi
mrs | marseille provence airport | saint-victoret | paris
mru | sir seewoosagur ramgoolam international airport | plaine magnien | mauritius
mrv | mineralnye vody airport | andzhiyevskiy | moscow
mrx | mahshahr airport | bandar-e mahshahr | tehran
mry | monterey regional airport | del rey oaks | los angeles
mrz | moree airport | moree | sydney
msl | northwest alabama regional airport | muscle shoals | chicago
msn | dane county regional airport | maple bluff | chicago
mso | missoula international airport | orchard homes | denver
msp | minneapolis-st. paul international airport | richfield | chicago
msq | minsk national airport | smilavichy | minsk
msr | mus airport | haskoy | istanbul
mst | maastricht aachen airport | elsloo | amsterdam
msu | moshoeshoe international airport | maseru | maseru
msy | louis armstrong new orleans international airport | kenner | chicago
msz | yuri gagarin airport | namibe | luanda
mth | florida keys marathon airport | marathon | new york
mtj | montrose regional airport | montrose | denver
mtp | montauk airport | montauk | new york
mtr | los garzones airport | cerete | bogota
mtt | minatitlan airport | minatitlan | mexico city
mty | gen mariano escobedo airport | ladrillera (entronque pesqueria) | monterrey
mua | munda airport |  | guadalcanal
mub | maun airport |  | gaborone
muc | franz josef strauss airport | hallbergmoos | berlin
mun | jose tadeo monagas international airport | maturin | caracas
mur | marudi airport |  | kuching
mux | multan airport | multan | karachi
muz | musoma airport | musoma | dar es salaam
mvd | carrasco international airport | paso de carrasco | montevideo
mvy | martha's vineyard airport |  | new york
mwa | williamson county airport | energy | chicago
mwl | mineral wells airport | mineral wells | chicago
mwx | muan international airport | muan | seoul
mwz | mwanza airport | mwanza | dar es salaam
mxh | moro airport |  | port moresby
mxl | mexicali airport | islas agrarias grupo a | tijuana
mxp | milano malpensa airport | vizzola ticino | rome
mxq | lorenzo airport | cairu | sao paulo
mxx | mora airport | mora | stockholm
mxz | mei xian airport | sanjiao | shanghai
mya | moruya airport | broulee | sydney
myd | malindi airport | malindi | nairobi
myg | mayaguana airport |  | nassau
myj | matsuyama airport | masaki-cho | tokyo
myp | mary airport | mary | ashgabat
myr | myrtle beach international airport | myrtle beach | new york
myt | myitkyina airport | myitkyina | rangoon
myw | mtwara airport | mtwara | dar es salaam
myy | miri airport | miri | kuching
mza | mayor pnp nancy flore airport | mazamari | lima
mzg | magong airport |  | taipei
